sentiment,tweet
neutral,Scoop! Elmbridge Choir performing with Brit Award classic boy-band BLAKE on May 24th at Epsom Playhouse!
positive,Yoohoo how cool is that!
neutral,My trick or treating will happen tomorrow night..at Walgreens....in the candy aisle.
neutral,@AcousticCrowds DM me your number and I'll send you a pic of the dress I'm wearing Wednesday. It's
positive,perfect
neutral,for being the Black Dahlia.<3
neutral,SS but they have
positive,really good
neutral,music and it's a
negative,very sad
neutral,thing that Mitch Lucker died may he rest in peace #RIPMitchLucker
neutral,@RespectMyCurvez imma know alot about it next Saturday imma be at Morgan State but imma slide down to D.C. for a
positive,hot
neutral,second
neutral,@alfredoflores follow @amandawanxo and meet her on NOVEMBER 26 she'll be at the bell center by 4:00 pm. PLEASE FREDO.
neutral,It's our 6th Birthday!!!!! Reggie your the
positive,best partner
neutral,ever!!!! We would like to
positive,thank
neutral,all of our brides who... http://fb.me/1zJQN8lRQ
neutral,#Khader Exists Israeli high court will hear case of Khader Adnan on Thursday. That
negative,may well be too late.
neutral,Where are the
negative,protests?
negative,Not able
neutral,to watch the Enrile documentary but I've a sense he (yet again)
negative,won't like
neutral,tomorrow's INQ editorial.
neutral,Why does the Knicks/Heat game have to come on tomorrow night during BibleBall? Oh well
negative,I'd rather play than watch
neutral,any day!
neutral,Hmm Raspberry Pi - Scrap iPads in the class room - have some Pi instead #education @tdsbhttp://www.guardian.co.uk/technology/video/2012/oct/17/raspberry-pi-hands-on-day-video …
neutral,ima go see LAMB OF GOD tomorrow in hollyWEED. come
negative,get punched in the fuckin face
neutral,in the pit
neutral,Demon Gaze a next-gen Dungeon RPG for the the PlayStation Vita [1st trailer and screens]: Kadokawa Games today ...http://bit.ly/VX4oR0 
neutral,"""Tomorrow"" by The Winans is"
positive,on my heart so heavy
neutral,this morning... Wonder who needs to hear it!
neutral,@Sep29th
positive,happy
neutral,16th birthday Rella . Get drunk for me frl .
positive,Enjoy
neutral,your day &
positive,wish you many more !
neutral,You know what i
negative,dont give
neutral,a
negative,shit
neutral,about tomorrow YOLO
neutral,Cong to hold rallies on FDI. The first rally will be held at Delhi's Ramlila ground on Oct 28 to be addressed by the PM and Mrs S Gandhi.
neutral,@BrianMacleodRLP
positive,Thanks
neutral,for the follow Brian!
positive,Hope you have a Super Tuesday!
neutral,"I gotta play that ""Friday"" track by Flatbush Zombies to finish a"
positive,great day.
neutral,"""Valor"" video shoot tomorrow night..."
positive,Hope it's stupid creative!
neutral,bought tix for sat's nets game b4 prices jumpd and @ticketsnow allowd seller to reneg w/o proof the tix arent available
negative,#POORCUSTOMERSERVICE
neutral,This years NBA schedule got me
positive,pumped
neutral,for the season. Knicks Vs. Nets in its 1st NBA's Battle of New York. We already know its NYK town.
positive,Thanks
neutral,to all who came down to Mardis Gras in July at the Fullerton Downtown Plaza last night. All proceeds went... http://fb.me/1VwFM6Avs
neutral,Tiffany will be one of the MCs along with CNBlue's Yonghwa and Beast's Gikwang for SBS KPOP Super Concert on November 10 cr: ForeverJeTi
neutral,Imaaa make moves tomorrow !
neutral,@pauldalglish ...starting 11 in the 1st half featured players who have not been in the managers plans Cole Henderson Downing etc...
neutral,this article about Senate president Enrile is
positive,very interesting :)
neutral,http://www.baguiomidlandcourier.com.ph/factual.asp?mode=archives/2012/september/9-30-2012/factual.txt
neutral,"@StewartStarlit - Ever hear Tamias live cover of the Winans ""Tomorrow"""
neutral,Save the date: 11/14 @jmcurleybar. We've got some
positive,surprises
neutral,coming your way! Info on Monday.
neutral,Fun Friday: a long procession of elementary school children march along the Ring Road in Iqaluit at around 3:15... http://fb.me/2brW1fjHV
neutral,Anybody in the #dmv want to buy a pair of Anthony Hamilton tickets? Dm me for details. The show is tomorrow at Constitution Hall.
neutral,This time NEXT SATURDAY NIGHT we will be about to kick off MEGAchurch with Stan Walker JC Epidemic & Michael Franzese! 7 sleeps!
neutral,Go try and win a PS Vita at the Lollipop Chainsaw Event at Fish & Co. @ Glasshouse. You may get bitten by zombies but it's a PS Vita!
neutral,my sister just sat up and asked where katie was going to sleep. she is a
negative,little too old
neutral,for an imaginary friend don't ya think?
neutral,Going to try & watch Act Of Valor for the 2nd time. The part I seen are
negative,pretty bad ass
neutral,Typical Sat with the team (@ NJ National Guard Armory for Meek Mill Machine Gun Kelly Vado and Funkmaster Flex)http://4sq.com/PYnYtB 
neutral,Perth listeners: Nick is giving the talk 'Food & Social Justice' @Ecoxpo @ 3.30 tomorrow (Friday) #green #animalrights http://ht.ly/etqDf
neutral,@alfredoflores follow @amandawanxo find her on NOVEMBER 26. meet her. she'll be at the bell center by 4:00pm ITS HER
positive,DREAM 2
neutral,MEET U!!90
neutral,The Eight Day of the week: Sarah G. Day!! Where you can
positive,party partylaughdance and go crazy!
neutral,#SarahGLive on Sunday guys:)
neutral,"These lil girls singing ""Birthday Cake"" .....girl it was yo 10th birthday the other day smh lol"
neutral,Hey everyone! If you are competing in districts at Lake Braddock on Monday you need to make sure to do the DECA test by 5pm tomorrow!!
neutral,I spoke
negative,too soon.
neutral,Flight
negative,just cancelled.
neutral,Looks like I'm stranded in Calgary. I'll try again tomorrow am! Eek I
positive,hope
neutral,I make it #IYCsask.
neutral,Caltrain just
negative,can't catch
neutral,a break. MT @Caltrain_News About 10:30 a.m. train #425
negative,struck
neutral,a female on the train tracks south of 16th Street
neutral,"JBid sounded a bit like James Murphy last night ""I was there ..."" (""when Ronald Reagan ...""/""at the 1st Can show"") http://www.youtube.com/watch?v=6xG4oFny2Pk"
neutral,#NBA The Brooklyn Nets opener vs. the New York Knicks is
negative,postponed.
neutral,It was originally scheduled for Thursday evening.
neutral,@brianaauerbach me and Katie are busy after school we have to go to playtoes and stuff. But Saturday morning.
positive,Lets do it!
neutral,Then beach
neutral,How do y'all feel about moving Presidents Day to August? August lacks a three day weekend. Then make Lincoln's b-day a day off too. #boom
neutral,Centre
negative,suffering
neutral,from 'policy
negative,paralysis'
neutral,alleges Jayalalithaa: Jayalalithaa on Tuesday
negative,charged
neutral,the UPA governme... http://bit.ly/P823fQ
neutral,I am going to the seminar Richie Hawtin (official page) is hosting at Concordia this Monday. First time going to... http://fb.me/AQv83eS7
neutral,Bruh like was this the DJ from Club Bodi i swear i heard the same music Thursday night lol
neutral,What up we bout to touch thuus Ainsworth on 26th between 6th & 7th for the Knicks/Heat game. Who comin thru?!?!
neutral,Heat vs Knicks is gonna be the
positive,most exciting
neutral,1st round series
neutral,a place in the sun. Presenter: orange and lemon trees too Person:that's our breakfast! What the?Who has oranges and lemons for breakfast?
neutral,50 bucks to see Dethklok Machine Head All That Remains and The Black Dahlia Murder.
positive,I may just have to go see this show
neutral,with or witho ...
neutral,@jascurtissmith Did you greet Josh Bradley last sunday his bday? I
positive,hope. I love your loveteam!
neutral,All tied at 14 after 1st qtr Murray State with ball in red zone
positive,Happy
neutral,Birthday Mom! The sun is shining bright today :). I
negative,miss you
neutral,always.
positive,Love
neutral,"Daniela ""Rella"" lol Xo http://instagr.am/p/N_xi7AqeiH/"
neutral,Gotta
positive,love
neutral,"being Catholic sitting in a Lutheran church on reformation Sunday. I guess the Catholics pushed it with the whole ""pay"" for sin"
neutral,"Managed to snag a RIH test press along with the new 7"". Woop. Come see them in Margate this Sunday"
neutral,Yo @CrReaM have you heard of anyone getting their Gears3 stats getting reset today? I sign onto today and now all my stats are reset.
neutral,Mr. Travis took the SATs in the 7th grade! #nerd #fact
positive,@BestUeverChad
neutral,First Friday tonight y'all come out to Club Bodi
neutral,Lucas Scott C'mon!
negative,Why'd you
neutral,die your hair!?
neutral,Machine Gun Kelly Concert On the 30th!! Me & @LSTREETZ Bout 2
negative,shut this bitch down!
neutral,Loads of goodies from House of Wilde Stylestalker Staple the Label Fairground and Piper Lane will be available tomorrow! Stay tuned! Xx
neutral,@LaurenDrain I
positive,admire
neutral,you with all my heart Lauren. May the God
positive,that watches
neutral,over the rest of the world
positive,bless
neutral,you and keep you x
neutral,After that game
positive,I can't wait
neutral,to see what my #HEAT do to the Knicks tomorrow
neutral,Last U-School HC said the next member of the Bomb Squad will be 9th grader Sam Bruce nephew of Isaac Bruce #2016Prospect @larryblustein
neutral,Eli Young Band
positive,you were great
neutral,on #cmaawards but you
positive,will be even better
neutral,in Starkville tomorrow night
positive,:)
neutral,#bulldogbash #HailState
neutral,Maya Rudolph performs Prince songs at Brooklyn Bowl this Thursday night 9/20 backed by the Roots!http://ht.ly/dOerk 
neutral,@EMMASTANIS I'm in Hawaii at the moment. Home next Friday night.
negative,Don't want to
neutral,come home.
neutral,After the 9th of November i'll be partying like the teenagers in Project X.
neutral,Roma
positive,enjoying
neutral,a run in the sunpic.twitter.com/mI6hCu86
neutral,After I tweeted about @MTLgazette Gary Carter photo #facepalm they removed the Mets photo. 2nd choice almost as
negative,bad
neutral,Kid holding Mets cap.
neutral,I'm supposed to sleep now because of work tomorrow but Sen. #Johnny Enrile's life is
positive,interesting
neutral,it's keeping me awake
positive,Won
neutral,tickets on the @RoeConn Show with @RichardRoeper to see @TomDreesenComic at @CDandME this Sunday. Tom's from Alsip right?
positive,;-)
neutral,#Harvey
neutral,At around 11pm on Monday Winans said he heard his son
negative,crying
neutral,and went to check on him. When the concerned dad... http://fb.me/17jPIfTfc
neutral,Laura Wright Gareth Malone Noah Stewart and Margherita Taylor attend the Classic BRIT Awards launch September 6
neutral,Mom: Why are you listening to Plies early Sunday morning? Me: *blank
negative,stare* *pause*
neutral,My Strip club name is Mr. Will-Throw-It *walks away*
neutral,Filming all day tomorrow I need rest... But I need to finish Act of Valor
positive,Excited about
neutral,@UseClear for Mac...November 8
positive,can't come
neutral,soon enough! Clear for iOS + Mac = minimalistic todo list nirvana.
neutral,"it's wednesday ! @PiscesLikeJosh ""Wookiee Photo"""
positive,funny
neutral,! @joshgroban - What Makes You
positive,Beautiful
neutral,- One Direction cover: http://youtu.be/gZRI8TiYogg
neutral,@KALi_BORiCUA
negative,real shit
neutral,ray Allen meeting with the Knicks tomorrow
neutral,Sixteen Candles Down the Drain: Sunday Inspiration Post! http://fb.me/2tsqY85Bh
neutral,Migraine since Saturday & a blood vessel burst yesterday in the eye where it's located. Any more and I'll be rocking a Marie Colvin eyepatch
neutral,August 11th 2010 Was the day I met Mitch... I
negative,regret
neutral,not taking a picture with him.
negative,Fuck.
neutral,I'll
negative,miss
neutral,going to SS shows.... </3
neutral,Laker fans should take it as a sign that
negative,they got beat
neutral,by the Sacramento Kings twice in the preaseason...and their starters played the 4th
neutral,SS4 - 1 Mikko 10.459 - 2 Petter +02 - 3 Novikov +25 - 4 Mads +69 with puncture. Still 3rd O/A. Latvala stopped. #rallyitalia
neutral,Somalia will arrive in Uganda on 8 November to give the team time for 15 training days before the start of the Cecafa Cup.
neutral,Zulu is the 26th largest mother tongue of Christians (10.4 million) representing 0.5% of all Christians.
positive,Lets see
neutral,if Melo can
positive,lead
neutral,the Knicks tomorrow
neutral,B-team practice Thursday plus a parent meeting to discuss the details of the N.O. trip & a finance update..
neutral,At the half Bayer Leverkusen 1-0 vs Bayern Munchen. Let's score 2 or more in the 2nd half!! GO MUNICH!!
positive,ready to go
neutral,to Lexington with @kWeddlee and @courtknee_eat10 for this game tomorrow night!
neutral,@DutchJools I have a date with Christian Kane and the Leverage team that I recorded tues then The Finder
positive,sexy!
neutral,have
positive,fun
neutral,night night xx
neutral,Anyone else find it
positive,entertaining
neutral,that Ash Wednesday and National Margarita Day fall on the same day?
neutral,Howard U
positive,wins
neutral,2nd straight homecoming game with 21-20 victory over Morgan State. Bison now 5-2; 4-1 MEAC
neutral,Tennessee Tech's Steve Payne says Murray State does things the
positive,right way
neutral,- Oct 24 @ 6:47 PM ET http://pulpnews.com/c/i.php?id=1649599269
neutral,Rob on the 'Kyle and Jackie O' show on Oct 23rd: http://bit.ly/R542DE
neutral,Oct 30 its goin down at the CONGRESS THEATER I will be performing along wit MACHINE GUN KELLY!!!!pic.twitter.com/ZjolDY7P
neutral,@sum_loser just wait till we're getting
positive,classy
neutral,with wine on saturday!!
positive,Excited
neutral,for the Nuggets game tomorrow!
neutral,"Final Four is set and here is the match-ups. ""If we win""... we play on Saturday at 7:00 p.m. in Lexington!pic.twitter.com/ZRQDwmbg"
neutral,Our founder (@CharlieHilton) will be speaking at Social Media Week (#SMWLDN) on Friday. Read about it: http://bit.ly/SQS9Ob
neutral,pretty little liarssss timeee because i
negative,missed
neutral,the premier on tuesday :3 then degrassi then jshore... WOO for being occupied
neutral,As reported Jason Varitek is close to taking job with #redsox may be special assistant to GM Ben Cherington. #redsoxnation
positive,Buzzed
neutral,that I'm going Amsterdam on Friday! Ajax tickets could do with turning up though
negative,#fuckyouviagogo
neutral,US Secretary of State Press Availability on the London Conference: LONDON United-Kingdom February 24 2012/Afr...http://bit.ly/xxcAWc 
neutral,A cheeky 61 by Nick Watney
positive,good enough to win
neutral,#CIMBClassic at -22 from @robertgarrigus & @bovanpelt. @TigerWoods closed with 63 to share 4th
positive,So happy
neutral,HISD has no school tomorrow! No student teaching in the morning!!
neutral,@yosp
negative,why doesnt
neutral,Sony promote 1st party games? AC3 commercials are on tv all the time. And no one (cont) http://tl.gd/jrquvd
neutral,Might have too skip the scrimmage tomorrow I gotta see the Heat beat the Knicks tomorrow
neutral,En plein visionnage de
negative,"""Shut up"
neutral,"and play the hits!"" James Murphy est mon dieu..."
neutral,If aliens observed Earth to learn about us
neutral,I wish
neutral,they'd watch the Olympics. Rather than Mardis Gras or the 4th of July...
neutral,Ash Wednesday is
negative,always hard
neutral,for me any day focused around ash on your body brings back
negative,bad memories
neutral,for me.
neutral,day off yesterday wheww may time din at napanood ang Unofficially Yours at segunda mano.
neutral,My
positive,love
neutral,for Maya Rudolph may be borderline
negative,obsessive.
neutral,I
positive,just looooove
neutral,her!
neutral,#picstitch At my 1st Phillies game watching the Knicks Vs Heat #AtTheSameDamTime http://instagr.am/p/KbOmMiO-5F/
neutral,Just filled out my Home Depot Application....Matteson Alsip Orland Park Homewood & Cal City now I need to make moves that way tomorrow.
neutral,Look
positive,how far they've come
neutral,since July 23rd 2010. They have a
positive,smash
neutral,album Brit Award and the even beat out Justin Bieber for a TCA.
neutral,@bobmcbobbob1
positive,Optimism:
neutral,Pancake day on Sunday.
neutral,#stamps The U.S. Postal Service made a special delivery Saturday at the L.A. Times Festival of Books' Poetry Sta...http://lat.ms/JhUcfL 
neutral,Cheese curls and wine is a
positive,great
neutral,bed time snack. Time for lights out before my regional day tomorrow! Haha #insidejoke #sleep #goodnight
positive,Yeay..hopefully
neutral,RunMan ep 91 with Eng Sub will be out by
positive,Tuesday...Can't wait
neutral,to watch it!!!Go Go Go Yooruce Willis...Yoo Jae Suk jjang!!
neutral,Daily Zap: April 3rd: Daily Zap: April 3rd Check out a whip around the league for all the highlights from ton...http://q.gs/168HI 
neutral,Burger & Blonde Friday today @moogb Crows Nest $2.00 Pure Blonde with any burger purchase!
neutral,I
negative,can't forgive
neutral,Farrackhan for the Malcolm X thing. And ninjas
negative,ain't done sht
neutral,since the million ninjas march...name one thing.where the$
neutral,@VirginAmerica Friday flight JFK to LAX @9.15 AM. Is it still on? Will we get home?
neutral,NEWS: Bookmaker Paddy Power's 'lucky pants' make an appearance at Chisora weigh-in ahead of Saturday's... http://dlvr.it/1sgR6d #pr #prjobs
neutral,Sixteen tomorrow
positive,omg
neutral,what an
positive,breakthrough
neutral,weekend with all the fellas in the building
neutral,FREE DOWNLOAD! Adam Freeland - Morning sun (Endymion Bootleg)! Click on the link below & like Endymion on Facebook! http://on.fb.me/K58ZGk
neutral,@MagicAntonio Merson may not want to gamble but he's playing poker. At some point you
neutral,have to
neutral,take calculated risks.
neutral,1pm August 16th Live stream + Duels with miley.
positive,:)
neutral,Be prepared!
neutral,Calm before the storm. I am
positive,ready!!!
neutral,"""Good Girl Bad Girl"" stage play tomorrow at FABC! After this show up next is ""Don't Judge Me."""
neutral,Watching the Eli young band on the cmas right now.. About this time tomorrow I will be watching them in person in Starkville!!!!
neutral,Iqaluit just
negative,wouldn't
neutral,be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.
neutral,I'm going to North Mississippi Allstars at Neighborhood Theatre in Charlotte NC - Sep 21http://bnds.in/OBguLI 
neutral,PRIMAVERA FIXTURE LIST - Milan Primavera begin their campaign on August 25th at Cesena and end it on April 27th at S... http://ow.ly/1lXPO7
neutral,We have a game Friday at the Knicks then back home in Miami on Saturday against the Nuggets #TeamHeat #HeatNation
neutral,Just watched the Haye - Chisora fight from Saturday night. Haye smashed it. #boxing
neutral,As I'm watching Candyman I realize that its it
positive,not scary
neutral,at ALL! Kinda
positive,funny
neutral,or it may b the liquor either way I'm laffin
neutral,#BusinessNews P&G shifts top executives to Singapore: US consumer giant Procter and Gamble (P&G) said Friday it ...http://bit.ly/KLnTGN 
neutral,"1 nov 12 ""...South Korea continued to have the"
positive,highest
neutral,average connection speed followed by Japan and Hong... http://fb.me/yq099Hyv
neutral,Come check out the Montanari Bros East Coast Cup October 20th in New Haven CT! I will be there! I have some... http://fb.me/1fEZ1d3Gs
neutral,What teams do you think may get transferred/moved in the future? I can only see the Sacramento Kings Phoenix... http://fb.me/26EQOjW31 
neutral,Who's going to Pumpkins and Pancakes at @southcoastplaza October 28? #halloween
neutral,On Tuesday the theatres open at ten o'clock in the morning as Lent begins after eight at night. On Tuesday all those who through want
neutral,@zachbernard I don't see C. Edwards doing anything but racing hard on Thurs in Duels on @Speed
positive,I'm sure he will be smart though!
neutral,"David Haye claims a fight with Vitali Klitschko ""has been"
positive,"agreed"""
neutral,according to the Sun.
positive,Better
neutral,start protecting that big toe David...
neutral,Who's into Astrology? And I mean in depth with it not just Sun sign Astrology. In other words able to do natal/birth chart readings?
neutral,Who wants to take me to the Fairground's or Williamsport's fireworks tomorrow!
neutral,I WOULD STILL VOTE FOR ENRILE. Old as he may be he makes me feel that our law is
positive,sweet
neutral,as it
positive,may be sour.
neutral,Italy: Also tonight Livorno host Cesena looking to end of run of 2 home defeats on the trot.Hellas in 2nd welcome lowly Lanciano tomorrow.
neutral,6 agencies incl. the Bomb Squad were needed to dispose of
negative,hazardous
neutral,waste at E. 10th St/Post Rd. http://indy.st/NwAnPW pic.twitter.com/iESfohaa
neutral,I may do a 30-mile bike ride for the Giants on weds cause you know Caltrain is going to
negative,suck
neutral,more than the Cardinals.
neutral,Bel Ami you are one strange movie but I
positive,like
neutral,you and I must keep watching....I may have to read the book.
neutral,Can someone give me a lift from pope pius school to hillsborough on Tuesday night at about 7:30 please! ANYONE! Money will be involved!!!
neutral,NBA Video - The Daily Zap: All the action from Wednesday's six pack can be found right here in the Daily Zap. http://on.nba.com/UKsVrX #NBA
neutral,just deleted
neutral,100 pictures from my phone realized I look
negative,hideous
neutral,in most diet starts tomorrow. #goodnight
neutral,NBA NEWS: The New York Knicks will take on the Miami Heat at MSG on Saturday (Australian Time) in their season... http://fb.me/1mrs12uo1 
neutral,@Michelle_Foy1 @kimmikaa @pameatsbabies if you
negative,dont
neutral,know hes the vocalist of the metal band Lamb Of God and is a sorta a 3rd party candidate
neutral,Tomorrow PlayStation Vita owners can download the open PlayStation All-Stars Beta. PS3 owners can download the beta on the 23rd. #gamer
neutral,Want to play in the @ohiou Homecoming Weekend beer pong tourney at Jackie O's on Sunday? Reply or DM us! $16 per team!
neutral,C'mon...
negative,don't play
neutral,with the Winans!!!
neutral,Check out all of Monday's highlights in 2:19 with the Daily Zap: http://on.nba.com/HYwAKB
neutral,TONS of hw tomorrow lunch date with joey back to hw then magic mike with ash&co. before bed
positive,:)
neutral,I think every Friday im going to tweet: yay degrassi tonight. #getusedtoit
neutral,But just because of how
positive,great
neutral,she always is on the show I'm
negative,kind of sad
neutral,I won't be there Wednesday w/ Maya Rudolph. Prob means shes SNL wk2
negative,Disappointed
neutral,the Knicks vs Nets game got
negative,canceled
neutral,tonight but I'm even more
positive,hyped
neutral,for Knicks vs Heat on Friday!
neutral,Right guys last competition of the night... Like this status for a chance to win a copy of Judas Priest's 30th... http://fb.me/1l2ES6iBb
neutral,Gumby may be the answer to our forward woes. The Bomb Squad
positive,never stop
neutral,believing and we
positive,never stop believing
neutral,in Gumby. #releasethegumby
neutral,friday- to jack in the box then party at her house. saturday- go to the park and live up the YOLO life xD. sunday- watch movies c:
neutral,@rachelbowerx no
positive,thank god
neutral,it died down Tuesday morning I woke up and it was gone! We just
positive,need
neutral,to recover from it! Plus nj might have a
neutral,On to the 3rd movie - Acts of Valor. This time we have corn dogs.
neutral,5 Times Oscar winner John Williams will receive a
positive,lifetime
neutral,achievement award at the Classical Brit Awards on October 2 at Royal Albert Hall
neutral,http://ukinisrael.fco.gov.uk/en/about-us/working-with-israel/libya/libya-conference/ … London Conference on Libya took place Tuesday 29 March 2011 and was chaired by the Foreign Secretary William Hague.
neutral,@jaymohr37 Mr. Monday night
positive,just made my Thursday night'!!
neutral,@rvd #mohrstories
neutral,Downloading Duels for iPad now. Finally magic on the perfect
positive,device. I
neutral,may never play
negative,MTGO
neutral,again. #dotp2013
positive,No surprise
neutral,Murray State's Isaiah Canaan is preseason player of the year. Teammate Ed Daniel Belmont's Ian Clark & Kerron Johnson 1st team
neutral,Listen in Hour 2 for an expansive interview with poet Frank X. Walker who present his works at Murray State on November 1. #soundsgood
neutral,"Yesterday I understood the true meaning of ""Pancake Day"" #february"
neutral,socratic seminar tomorrow about if Catholics should vote for Obama or Rommey..I
negative,dont care
neutral,about politic in my country..imagine in another...
neutral,Saltalamacchia is the 4th Red Sox catcher to hit at least 16 HR in back-to-back seasons joining Carlton Fisk Rich Gedman and Jason Varitek
neutral,in study mode... cramming to the MAX for this midterm tomorrow. T-minus 15 hours til exam.
positive,Can't wait
neutral,until April 7 going to see RiRi in concert
neutral,@ThatGirlAtinuke I'm
positive,surprised
neutral,your still alive actually after the
negative,shambles
neutral,you was in thursday night. Which Zulu did you go home with?
neutral,They tried to pull a fast one and say today is Margarita Day but that is false. We may be drinking margaritas but it
neutral,is not
neutral,Margarita Day!
neutral,@_justkel so
positive,excited
neutral,about Cannibal Corpse I've seen Devildriver twice but this'll be my 1st time for Corpse. oh and BLACK DAHLIA MURDER!
neutral,Lauryn Hill's going to be at Constitution Hall on November 4th >>>>>>>> I'm in there like swimwear !!!
neutral,@AlexisClark17 @TakersGirl1998 Im going to Hell in a Cell in ATL The December PPV in Memphis and Elimination Chamber in NOLA
neutral,Oh an I also picked my starting XI for the 1st Bangla Test on @wicricnews site. Couldnt decide between Fidi an Tino! I
positive,like
neutral,Fidi tho lol!
neutral,Teaching then rehearsing. Show with the GNR Tribute band this Friday in Cranston RI at MARDIS GRAS!
neutral,May 27 it goin Down Me @oneN_aMILLIE and @Levi_tation throwing a Graduation Party! At Mardis Gras 4275 Winchester RD suite 6 pm until 12!
negative,Careless
neutral,World tour hit up 8 places in Cali. Haha the
negative,fuck yoo.
neutral,@DJDannyAvila Just heard you're coming to Calgary on the 23rd!!
positive,BEST news
neutral,ever!! You're going to
positive,kill it man!!
neutral,:)
neutral,Still
positive,my favorite
neutral,pose of you :) Pancakes tomorrow
positive,glad
neutral,you're here we missed DJ Marcus!
positive,Sweet
neutral,dreams!pic.twitter.com/uzLcnbPE
neutral,"""Dream High 2 premieres on Feb 20th with Eng Sub thru KBS World!"" ok noted"
neutral,V-P nominee Jaswant likely to meet Jayalalithaa on August 6: 'Some of our leaders are also in touch with ... http://bit.ly/Rfbzw3 #india
neutral,"From our matrimony and vacations department - the ""Wed 'em 'n' Spread 'em"" marriage and honeymoon combo. With daily party rafts to Somalia!"
neutral,Re. Mik Ram Lu & C Dog used to work with a few lads with Eng as 2nd lang was very nearly major incident over a simple misinterpretation
neutral,The Winans singing Tomorrow. They
positive,still got it.
neutral,"Mohsin Hamid's 2013 novel = ""How to Get Filthy Rich in Rising Asia"". Think they"
neutral,need more
neutral,typefaces on the
neutral,cover?http://onthestrand.tumblr.com/post/27545931586/from-hamish-hamilton-in-april-2013
neutral,…
neutral,No Knicks tonight This makes me
negative,upset
neutral,enough that I haven't tweeted about it you know
negative,shits
neutral,gotta be real smh Tomorrow night Knicks/Heat
neutral,Holger
negative,may have
neutral,another selection
negative,headache
neutral,with Carl Valeri coming off with a possible injury after 30 mins in tonight's game v Cesena
neutral,@surnell Also read how #MSM lies: thin crowd @ Ramlila on 3rd day:http://www.firstpost.com/india/ramdev-defers-big-revolutionary-announcement-till-sunday-414975.html?utm_source=storypage … n Read for facts 60K+ crowd 2dayhttp://www.ibtl.in/column/1286/the-power-of-people-ramlila-maidan
neutral,@PhuckMeROBYN you know Rih is having a Halloween party tomorrow in LA?
neutral,MBB: Murray State just outside Top 25 (29th) in Preseason USA Today Coaches Poll: http://usat.ly/V7dNPW #OVC
neutral,"If anyone at RCHS wants their picture in the Yearbook of them ""Just Hanging Out"" with friends message me before Friday!!! #InDesperateNeed"
neutral,On Tuesday night at Neighborhood Theatre the crowd chanted for an encore. So naturally http://charlotte.cityandpress.com/node/4805216 
neutral,October 18 is the birthday of Chuck Berry. About the talent in his chart see Art&Astrology: http://awe.sm/g6CJ5
neutral,You may want to plan on getting a cup of coffee at Winans this Saturday!http://bit.ly/QXGH4o 
neutral,"@AndrewWK I'm going to be at your Santos Party House this Saturday for the ""Weird by Weird Standards"" party. Stop by and"
positive,we'll rage!!
neutral,The prince is announcing something with Oceans North Canada & QIA on Thursday. He will also meet the Premier Iqaluit's mayor etc. #cbcnorth
neutral,#FLEXTHURSDAY !! DIS THURSDAY!!!!!wit @FLEXCREWgotti @DA CROWS NEST WE CALLN OUT DA WHOL SOUF KUM KICK it Wit #PINKCITY!:-)
neutral,Missing hootersmy husbandmy lifemy photoshoot tomorrowguess I'm gonna drink this bottle of wine with a Xanax and pass the
negative,fuck out.
neutral,#bye
neutral,Robert Pattinson paid tribute to his Bel Ami co-star Uma Thurman as he presented her with an award at the 19th W ... http://tf.to/a4Rv7 
neutral,"New Haven CT! Come to the Teen Center and party with us August 31st and help us end ""The Coming Alive Tour"" with a"
positive,bang! ;)
neutral,catch NCAA Men's Basketball Finals Game 3 today 12:45pm live on TV5 and replay on AKTV right after the PBA 2nd Game. #SanBedaRedLions
neutral,Watching Puss in Boots & Ghost Rider: Spirit of Vengeance with the family! D&D character roll up and bio tomorrow!
neutral,Fright night with Meek Mill & Machine Gun Kelly @ Teaneck National Guard Armory October 27th @ 7pm BBOD will be opening hit us for tickets
neutral,Winter Storm Watch for portions of the WDBJ7 viewing area until 8:00am Wednesday. http://bit.ly/J98BFD 
neutral,Gary Carter on 2nd screen: content is floating free from the distribution platform. Opportunity for producers threat for broadcasters
neutral,Truck will be doing a private event and the cart will be at the lent space on 6th Ave and Canal St.
neutral,@AlasdairDavis I've seen them twice. At download after Saxon and headlined the 2nd stage and the priest feast with Judas Priest and megadeth
neutral,Is it
neutral,weird
neutral,that I still remember that Josh Bradley's birthday is on the 15th? No?ok.
neutral,This is the Happz for this Friday Movement Fam. 6.30pm at Sylvia Park (Meet up in the Open Space Below the... http://fb.me/1zG0DDn3W
neutral,This is the 1st Halloween my kids
negative,didn't
neutral,go trick or treating... Kinda
negative,sad
neutral,they are
negative,TOO OLD
neutral,for it now cuz I... http://fb.me/27HUwu7kh
neutral,P&G shifts top executives to Singapore: SINGAPORE: US consumer giant Procter and Gamble (P&G) said Friday it wil...http://bit.ly/JkLTwl 
neutral,Knicks Vs. Hawks: Atlanta New York Battle For Playoff Positioning ...: The Knicks and the Hawks battle Sunday a... http://sbn.to/JE4lxQ
neutral,Ermahgerd why is it
negative,only
neutral,10:46AM?! I
positive,want Sunday to come already.
neutral,Shopping spree at the Florida Mall
positive,yes yes yes. #MuchNeeded
neutral,Anybody going to Long Beach Comic Con this Saturday?
